Age,Gender,Location,Phone Brand,OS,Screen Time (hrs/day),Data Usage (GB/month),Calls Duration (mins/day),Number of Apps Installed,Social Media Time (hrs/day),E-commerce Spend (INR/month),Streaming Time (hrs/day),Gaming Time (hrs/day),Monthly Recharge Cost (INR),Primary Use,Cluster,Total expenditure,Cluster Name,Actionable Insight
56,Other,Kolkata,Realme,iOS,3.1,43.5,125.3,188,2.3,9767,5.2,5.0,1136,Entertainment,0,10903,Mature High Spender,Upsell premium services
55,Other,Lucknow,Nokia,Android,1.6,23.7,192.0,27,3.1,9330,1.2,2.3,1098,Work,0,10428,Mature High Spender,Upsell premium services
46,Other,Mumbai,Apple,Android,3.1,23.6,153.9,183,2.5,6242,6.2,0.4,1679,Education,0,7921,Mature High Spender,Upsell premium services
40,Other,Hyderabad,Motorola,iOS,9.0,38.9,289.6,62,2.4,8012,7.7,2.0,1224,Work,0,9236,Mature High Spender,Upsell premium services
41,Other,Jaipur,Realme,Android,8.1,44.1,81.8,25,1.9,5545,5.7,3.7,1488,Education,0,7033,Mature High Spender,Upsell premium services
39,Female,Jaipur,Motorola,Android,4.0,9.4,194.2,32,1.5,8314,6.7,3.5,447,Entertainment,0,8761,Mature High Spender,Upsell premium services
28,Female,Chennai,Xiaomi,iOS,5.3,16.8,264.9,84,1.3,9222,7.2,3.0,1699,Social Media,0,10921,Mature High Spender,Upsell premium services
54,Male,Ahmedabad,Vivo,iOS,2.2,22.0,30.8,156,1.8,8307,1.1,3.0,1788,Social Media,0,10095,Mature High Spender,Upsell premium services
17,Other,Lucknow,Apple,iOS,4.7,30.4,157.7,187,2.6,9189,4.3,4.9,801,Entertainment,0,9990,Mature High Spender,Upsell premium services
49,Other,Jaipur,OnePlus,Android,8.6,46.0,181.8,154,1.6,4264,7.5,0.4,1142,Social Media,0,5406,Mature High Spender,Upsell premium services
49,Male,Pune,Motorola,iOS,3.4,17.0,235.4,52,2.8,7018,7.3,4.7,2000,Education,0,9018,Mature High Spender,Upsell premium services
35,Male,Hyderabad,Xiaomi,iOS,3.0,8.3,253.1,18,2.5,9494,3.1,4.6,479,Gaming,0,9973,Mature High Spender,Upsell premium services
38,Other,Jaipur,Oppo,iOS,1.3,9.0,119.7,36,2.0,5666,4.0,4.1,1605,Education,0,7271,Mature High Spender,Upsell premium services
41,Female,Delhi,Realme,Android,2.5,9.3,111.0,69,0.6,2918,6.5,1.9,1699,Education,0,4617,Mature High Spender,Upsell premium services
43,Male,Kolkata,Google Pixel,iOS,3.0,24.3,151.7,143,1.1,4443,6.3,0.3,546,Education,0,4989,Mature High Spender,Upsell premium services
28,Male,Chennai,Xiaomi,iOS,5.7,49.5,98.2,190,2.1,8715,7.9,3.2,195,Gaming,0,8910,Mature High Spender,Upsell premium services
23,Female,Hyderabad,Samsung,Android,4.5,44.3,298.9,166,2.2,9243,1.2,4.4,1355,Entertainment,0,10598,Mature High Spender,Upsell premium services
43,Other,Lucknow,Vivo,iOS,11.4,45.5,215.1,28,1.1,6568,7.4,0.5,505,Social Media,0,7073,Mature High Spender,Upsell premium services
39,Male,Jaipur,Samsung,Android,8.8,40.8,237.2,190,2.8,5779,6.6,1.3,1767,Social Media,0,7546,Mature High Spender,Upsell premium services
59,Male,Pune,Google Pixel,Android,2.3,11.6,52.3,136,2.9,6699,1.5,4.2,1239,Entertainment,0,7938,Mature High Spender,Upsell premium services
21,Other,Kolkata,Vivo,Android,7.2,29.6,180.6,88,1.4,9995,1.1,0.4,1727,Gaming,0,11722,Mature High Spender,Upsell premium services
15,Other,Mumbai,Realme,iOS,10.5,39.3,77.1,137,2.2,8230,3.1,3.1,687,Work,0,8917,Mature High Spender,Upsell premium services
56,Male,Hyderabad,Motorola,iOS,11.6,31.6,123.1,150,2.0,7124,6.7,3.4,1037,Entertainment,0,8161,Mature High Spender,Upsell premium services
38,Other,Hyderabad,Realme,iOS,4.5,20.9,62.8,198,0.5,5339,0.6,3.3,767,Social Media,0,6106,Mature High Spender,Upsell premium services
27,Male,Jaipur,Apple,iOS,1.5,7.8,50.7,151,1.1,5508,3.4,2.8,392,Education,0,5900,Mature High Spender,Upsell premium services
44,Other,Chennai,Nokia,iOS,10.8,15.8,152.4,81,3.1,8153,7.3,1.6,1350,Gaming,0,9503,Mature High Spender,Upsell premium services
49,Male,Pune,Google Pixel,Android,10.1,9.4,69.5,125,0.7,5893,4.2,4.6,837,Social Media,0,6730,Mature High Spender,Upsell premium services
21,Other,Lucknow,Vivo,Android,2.9,27.6,202.1,85,1.8,6866,3.3,4.2,1149,Entertainment,0,8015,Mature High Spender,Upsell premium services
42,Male,Chennai,Google Pixel,Android,5.5,49.4,55.7,117,1.4,9032,2.0,4.5,332,Entertainment,0,9364,Mature High Spender,Upsell premium services
39,Male,Hyderabad,Oppo,Android,3.1,9.3,165.3,199,2.6,8547,1.4,3.5,186,Social Media,0,8733,Mature High Spender,Upsell premium services
50,Other,Delhi,Motorola,iOS,3.8,15.6,264.9,183,0.9,4894,0.7,4.2,1740,Work,0,6634,Mature High Spender,Upsell premium services
29,Female,Lucknow,Vivo,iOS,3.9,19.0,64.4,106,1.0,9942,3.3,0.3,612,Social Media,0,10554,Mature High Spender,Upsell premium services
51,Female,Lucknow,OnePlus,Android,7.3,44.2,211.4,80,0.5,6983,6.1,2.5,1150,Gaming,0,8133,Mature High Spender,Upsell premium services
39,Male,Pune,Oppo,Android,7.2,12.1,281.8,58,1.9,5116,7.6,4.5,1271,Social Media,0,6387,Mature High Spender,Upsell premium services
58,Other,Mumbai,Apple,iOS,7.1,43.3,248.5,57,2.6,8474,2.0,0.9,160,Gaming,0,8634,Mature High Spender,Upsell premium services
20,Female,Jaipur,Google Pixel,iOS,9.0,6.0,137.9,49,0.7,8615,0.8,2.3,223,Education,0,8838,Mature High Spender,Upsell premium services
29,Male,Chennai,Oppo,iOS,10.1,33.3,168.3,40,2.5,8182,4.9,0.2,621,Gaming,0,8803,Mature High Spender,Upsell premium services
43,Male,Pune,Nokia,Android,5.4,21.2,244.2,140,3.3,8206,7.9,1.0,1178,Social Media,0,9384,Mature High Spender,Upsell premium services
48,Female,Chennai,Google Pixel,Android,9.4,35.8,256.5,160,1.6,8873,5.1,1.6,882,Work,0,9755,Mature High Spender,Upsell premium services
51,Female,Delhi,Nokia,iOS,6.1,46.3,38.1,89,2.1,6856,5.3,0.9,1328,Entertainment,0,8184,Mature High Spender,Upsell premium services
58,Female,Jaipur,Motorola,Android,4.5,7.3,126.7,174,2.6,8052,7.3,2.4,779,Gaming,0,8831,Mature High Spender,Upsell premium services
49,Female,Ahmedabad,Realme,iOS,8.4,28.8,62.6,16,0.7,3036,3.3,3.7,1184,Gaming,0,4220,Mature High Spender,Upsell premium services
16,Male,Chennai,Oppo,Android,8.2,8.4,233.3,142,0.9,8059,1.2,4.6,1804,Work,0,9863,Mature High Spender,Upsell premium services
18,Other,Bangalore,Google Pixel,Android,10.7,24.8,170.7,184,1.0,9616,2.0,3.8,1542,Work,0,11158,Mature High Spender,Upsell premium services
33,Other,Delhi,Samsung,Android,8.3,46.6,28.4,175,0.6,9944,7.4,4.2,1390,Social Media,0,11334,Mature High Spender,Upsell premium services
26,Other,Kolkata,Google Pixel,iOS,9.4,16.1,121.1,52,0.8,5732,1.0,4.4,1882,Work,0,7614,Mature High Spender,Upsell premium services
55,Female,Chennai,Motorola,Android,7.5,4.2,71.0,171,1.0,8505,4.6,3.7,364,Work,0,8869,Mature High Spender,Upsell premium services
20,Other,Chennai,Samsung,iOS,8.5,49.5,199.5,136,0.5,8540,2.2,4.4,880,Social Media,0,9420,Mature High Spender,Upsell premium services
40,Female,Kolkata,Realme,Android,6.9,16.6,65.1,164,1.2,5691,4.3,3.3,872,Entertainment,0,6563,Mature High Spender,Upsell premium services
52,Male,Bangalore,OnePlus,iOS,1.3,15.1,241.0,72,0.9,6597,1.0,1.0,1841,Social Media,0,8438,Mature High Spender,Upsell premium services
54,Other,Pune,Oppo,iOS,4.5,42.6,61.8,96,1.5,4443,6.0,0.5,1786,Education,0,6229,Mature High Spender,Upsell premium services
22,Other,Jaipur,Realme,Android,9.3,21.2,227.5,48,0.8,7296,3.0,5.0,546,Work,0,7842,Mature High Spender,Upsell premium services
41,Other,Jaipur,Google Pixel,iOS,8.0,47.9,210.7,156,3.1,7026,5.2,2.0,354,Work,0,7380,Mature High Spender,Upsell premium services
50,Other,Jaipur,Nokia,iOS,6.9,15.0,295.9,173,2.4,8166,4.1,4.8,525,Work,0,8691,Mature High Spender,Upsell premium services
60,Female,Chennai,Xiaomi,Android,3.1,4.4,259.8,73,0.9,5023,2.4,1.1,1188,Gaming,0,6211,Mature High Spender,Upsell premium services
28,Other,Ahmedabad,Samsung,iOS,8.5,25.1,150.0,142,0.9,7911,6.0,2.8,1083,Work,0,8994,Mature High Spender,Upsell premium services
23,Other,Hyderabad,Nokia,Android,4.1,14.0,246.6,26,1.1,7727,4.8,1.1,555,Social Media,0,8282,Mature High Spender,Upsell premium services
16,Male,Delhi,Apple,Android,9.1,9.9,133.5,89,2.0,9075,4.2,2.0,663,Social Media,0,9738,Mature High Spender,Upsell premium services
39,Other,Ahmedabad,Xiaomi,Android,9.7,13.3,87.6,93,1.7,4550,3.0,3.9,1461,Entertainment,0,6011,Mature High Spender,Upsell premium services
55,Other,Jaipur,Nokia,Android,1.6,37.6,227.7,126,1.8,6117,7.4,1.9,1819,Entertainment,0,7936,Mature High Spender,Upsell premium services
39,Other,Hyderabad,Motorola,Android,10.6,26.3,40.7,20,0.9,2643,4.2,0.9,1591,Work,0,4234,Mature High Spender,Upsell premium services
47,Other,Bangalore,OnePlus,Android,5.5,42.2,97.5,147,1.0,6769,7.5,2.7,1703,Education,0,8472,Mature High Spender,Upsell premium services
25,Other,Bangalore,OnePlus,Android,5.7,4.6,279.5,88,3.0,9903,3.8,2.6,1330,Entertainment,0,11233,Mature High Spender,Upsell premium services
41,Other,Bangalore,Realme,iOS,4.7,12.3,132.9,169,3.3,5953,7.5,2.6,415,Education,0,6368,Mature High Spender,Upsell premium services
29,Male,Bangalore,OnePlus,iOS,3.0,46.4,244.8,59,1.9,6411,4.3,1.3,219,Education,0,6630,Mature High Spender,Upsell premium services
25,Male,Bangalore,Nokia,Android,6.2,22.1,91.1,110,1.4,6597,2.1,3.7,912,Social Media,0,7509,Mature High Spender,Upsell premium services
