Age,Gender,Location,Phone Brand,OS,Screen Time (hrs/day),Data Usage (GB/month),Calls Duration (mins/day),Number of Apps Installed,Social Media Time (hrs/day),E-commerce Spend (INR/month),Streaming Time (hrs/day),Gaming Time (hrs/day),Monthly Recharge Cost (INR),Primary Use,Cluster,Total expenditure,Cluster Name,Actionable Insight
53,Male,Mumbai,Vivo,Android,3.7,23.9,37.9,104,3.9,469,5.2,4.1,803,Education,1,1272,Mature Low Spender,Target with social media ads
60,Other,Delhi,Realme,iOS,9.2,28.1,13.7,169,2.8,4997,5.1,0.4,1526,Gaming,1,6523,Mature Low Spender,Target with social media ads
37,Female,Ahmedabad,Nokia,Android,4.5,12.3,66.8,96,3.0,2381,1.7,2.9,1619,Entertainment,1,4000,Mature Low Spender,Target with social media ads
57,Female,Lucknow,Apple,iOS,6.0,35.2,154.5,123,0.8,2653,2.9,2.3,1073,Social Media,1,3726,Mature Low Spender,Target with social media ads
46,Female,Kolkata,Oppo,Android,5.3,46.4,21.3,194,3.7,2870,6.1,2.8,1253,Entertainment,1,4123,Mature Low Spender,Target with social media ads
41,Female,Delhi,Oppo,Android,7.5,23.5,84.9,187,0.9,643,3.5,2.7,151,Social Media,1,794,Mature Low Spender,Target with social media ads
54,Male,Kolkata,Apple,Android,11.6,12.6,210.4,62,4.9,4642,0.9,4.1,1360,Entertainment,1,6002,Mature Low Spender,Target with social media ads
50,Female,Chennai,Google Pixel,Android,5.3,5.2,235.6,188,4.6,1120,1.0,0.8,1639,Work,1,2759,Mature Low Spender,Target with social media ads
60,Male,Pune,Samsung,iOS,10.4,46.0,38.0,110,3.0,511,6.8,1.3,311,Social Media,1,822,Mature Low Spender,Target with social media ads
59,Other,Pune,Xiaomi,Android,11.7,9.1,203.9,101,5.8,2579,2.6,4.1,446,Gaming,1,3025,Mature Low Spender,Target with social media ads
46,Other,Chennai,Samsung,Android,8.1,15.5,206.8,77,5.9,1776,3.4,2.5,899,Social Media,1,2675,Mature Low Spender,Target with social media ads
36,Male,Hyderabad,Vivo,iOS,5.6,47.4,155.4,123,5.9,1886,2.3,3.0,955,Work,1,2841,Mature Low Spender,Target with social media ads
51,Female,Kolkata,Vivo,iOS,10.7,45.1,94.0,127,3.5,2293,6.7,5.0,333,Education,1,2626,Mature Low Spender,Target with social media ads
45,Female,Hyderabad,Realme,Android,6.3,34.5,244.3,125,5.0,1647,5.9,0.2,1541,Entertainment,1,3188,Mature Low Spender,Target with social media ads
57,Male,Delhi,Vivo,iOS,4.1,31.2,61.5,149,5.1,386,3.9,1.0,1935,Social Media,1,2321,Mature Low Spender,Target with social media ads
56,Other,Kolkata,Nokia,Android,9.4,42.1,246.7,113,4.9,498,0.9,4.3,982,Work,1,1480,Mature Low Spender,Target with social media ads
49,Other,Lucknow,Samsung,iOS,5.2,43.4,151.8,114,5.6,3826,6.8,3.1,1192,Social Media,1,5018,Mature Low Spender,Target with social media ads
52,Female,Kolkata,Xiaomi,iOS,4.4,33.8,189.3,44,3.8,1869,3.6,2.4,1382,Social Media,1,3251,Mature Low Spender,Target with social media ads
42,Other,Mumbai,Google Pixel,iOS,4.2,3.4,171.6,108,3.3,5178,1.3,4.8,322,Education,1,5500,Mature Low Spender,Target with social media ads
51,Other,Mumbai,Samsung,iOS,10.7,17.6,293.4,65,5.2,3313,1.8,1.3,1319,Education,1,4632,Mature Low Spender,Target with social media ads
