Age,Gender,Location,Phone Brand,OS,Screen Time (hrs/day),Data Usage (GB/month),Calls Duration (mins/day),Number of Apps Installed,Social Media Time (hrs/day),E-commerce Spend (INR/month),Streaming Time (hrs/day),Gaming Time (hrs/day),Monthly Recharge Cost (INR),Primary Use,Cluster,Total expenditure,Cluster Name,Actionable Insight
21,Male,Jaipur,Oppo,iOS,5.4,10.6,210.6,25,4.2,6285,0.6,4.8,1749,Entertainment,2,8034,Young High Spender,Upsell premium services
44,Other,Kolkata,Apple,iOS,9.9,10.6,180.2,84,4.8,9193,7.6,0.4,168,Education,2,9361,Young High Spender,Upsell premium services
53,Male,Bangalore,Realme,iOS,10.5,1.4,33.7,137,4.5,7854,7.2,1.4,240,Education,2,8094,Young High Spender,Upsell premium services
52,Male,Bangalore,Google Pixel,Android,5.1,28.5,169.2,161,4.6,6175,4.4,4.3,1769,Work,2,7944,Young High Spender,Upsell premium services
22,Other,Kolkata,Google Pixel,Android,1.6,34.1,6.0,153,5.8,5175,5.7,2.2,805,Work,2,5980,Young High Spender,Upsell premium services
19,Male,Kolkata,Apple,iOS,5.5,2.9,212.5,129,5.6,8514,7.9,0.8,647,Education,2,9161,Young High Spender,Upsell premium services
52,Other,Delhi,Xiaomi,Android,1.5,41.0,95.5,140,5.5,8029,5.0,0.1,802,Social Media,2,8831,Young High Spender,Upsell premium services
31,Female,Ahmedabad,Nokia,iOS,10.4,41.1,32.5,171,3.5,7702,7.1,0.8,1833,Education,2,9535,Young High Spender,Upsell premium services
43,Other,Bangalore,Xiaomi,iOS,8.6,14.4,275.5,27,4.7,9544,3.6,3.4,1395,Work,2,10939,Young High Spender,Upsell premium services
16,Female,Pune,Nokia,iOS,9.0,7.1,142.9,164,4.9,6088,2.1,1.9,686,Work,2,6774,Young High Spender,Upsell premium services
34,Female,Kolkata,Apple,iOS,3.5,20.6,134.0,73,5.6,2918,3.0,1.0,329,Entertainment,2,3247,Young High Spender,Upsell premium services
41,Female,Bangalore,Samsung,iOS,8.3,19.4,194.5,25,5.8,9918,5.3,3.5,782,Education,2,10700,Young High Spender,Upsell premium services
40,Female,Kolkata,Samsung,Android,4.2,28.1,8.9,62,4.1,8932,7.3,0.8,209,Social Media,2,9141,Young High Spender,Upsell premium services
51,Female,Lucknow,Oppo,Android,11.9,47.8,21.5,68,4.3,7945,2.3,3.8,1749,Social Media,2,9694,Young High Spender,Upsell premium services
23,Other,Kolkata,Motorola,iOS,5.2,34.6,159.3,140,4.3,5816,7.8,2.8,1406,Gaming,2,7222,Young High Spender,Upsell premium services
37,Other,Pune,OnePlus,iOS,10.5,33.0,69.0,92,4.0,8284,1.3,4.1,781,Work,2,9065,Young High Spender,Upsell premium services
52,Male,Jaipur,Samsung,iOS,5.0,46.6,127.1,56,4.6,7151,4.1,2.2,554,Education,2,7705,Young High Spender,Upsell premium services
38,Male,Lucknow,Oppo,Android,1.8,49.9,87.3,95,5.2,5891,6.4,0.1,1401,Gaming,2,7292,Young High Spender,Upsell premium services
25,Male,Bangalore,Apple,iOS,1.5,25.9,24.3,62,4.5,9363,7.5,0.2,809,Entertainment,2,10172,Young High Spender,Upsell premium services
31,Female,Pune,Apple,iOS,10.9,41.1,273.4,157,4.2,9043,2.8,3.4,431,Education,2,9474,Young High Spender,Upsell premium services
39,Male,Pune,Apple,Android,8.4,46.3,175.6,180,5.6,3881,7.0,0.1,1254,Social Media,2,5135,Young High Spender,Upsell premium services
21,Male,Delhi,Apple,Android,3.6,5.5,30.6,200,4.5,5214,7.7,3.8,1129,Entertainment,2,6343,Young High Spender,Upsell premium services
40,Other,Chennai,Xiaomi,Android,5.5,42.8,50.0,142,3.6,8911,4.4,3.7,1226,Work,2,10137,Young High Spender,Upsell premium services
15,Other,Pune,Oppo,iOS,8.5,18.6,118.8,30,5.8,7615,6.8,2.5,448,Education,2,8063,Young High Spender,Upsell premium services
56,Male,Chennai,Realme,Android,5.2,3.5,6.7,101,5.5,8684,5.8,0.5,1627,Entertainment,2,10311,Young High Spender,Upsell premium services
15,Other,Jaipur,Nokia,Android,8.9,13.9,99.2,51,5.4,7174,0.7,1.7,1837,Education,2,9011,Young High Spender,Upsell premium services
25,Other,Hyderabad,OnePlus,iOS,3.7,49.5,160.5,77,4.2,9444,1.8,0.2,1268,Entertainment,2,10712,Young High Spender,Upsell premium services
23,Female,Pune,Oppo,iOS,10.1,6.1,68.8,198,5.8,3598,1.6,3.9,1054,Work,2,4652,Young High Spender,Upsell premium services
39,Female,Delhi,Apple,iOS,4.8,22.6,205.0,71,5.3,5852,3.6,3.6,1574,Work,2,7426,Young High Spender,Upsell premium services
50,Female,Delhi,Motorola,iOS,3.7,48.7,57.3,52,3.9,7916,2.7,2.1,905,Social Media,2,8821,Young High Spender,Upsell premium services
39,Female,Hyderabad,Google Pixel,iOS,7.7,6.6,118.1,39,4.9,5299,7.9,2.5,1795,Social Media,2,7094,Young High Spender,Upsell premium services
33,Male,Ahmedabad,Apple,iOS,8.2,34.4,173.0,177,5.2,8751,0.7,3.0,850,Gaming,2,9601,Young High Spender,Upsell premium services
49,Other,Lucknow,Motorola,Android,11.7,42.6,218.5,150,5.6,6184,6.3,0.6,1980,Social Media,2,8164,Young High Spender,Upsell premium services
45,Male,Mumbai,Vivo,iOS,6.7,26.1,137.5,137,4.9,8216,5.6,1.3,306,Social Media,2,8522,Young High Spender,Upsell premium services
