Age,Gender,Location,Phone Brand,OS,Screen Time (hrs/day),Data Usage (GB/month),Calls Duration (mins/day),Number of Apps Installed,Social Media Time (hrs/day),E-commerce Spend (INR/month),Streaming Time (hrs/day),Gaming Time (hrs/day),Monthly Recharge Cost (INR),Primary Use,Cluster,Total expenditure,Cluster Name,Actionable Insight
32,Male,Pune,Samsung,Android,11.0,25.6,156.2,146,5.2,1185,3.2,0.3,1560,Entertainment,3,2745,Young Low Spender,Retention / low spend segment
16,Male,Mumbai,Xiaomi,iOS,2.2,2.5,236.2,86,5.5,106,3.4,2.3,742,Social Media,3,848,Young Low Spender,Retention / low spend segment
35,Male,Jaipur,Realme,Android,10.3,32.4,247.1,124,5.2,3347,3.8,4.5,972,Social Media,3,4319,Young Low Spender,Retention / low spend segment
33,Female,Jaipur,Samsung,iOS,1.7,33.2,208.8,121,3.0,3185,4.2,0.5,1046,Entertainment,3,4231,Young Low Spender,Retention / low spend segment
16,Female,Hyderabad,Vivo,Android,1.4,25.5,222.0,141,1.6,1119,2.8,0.4,1118,Gaming,3,2237,Young Low Spender,Retention / low spend segment
29,Female,Bangalore,Realme,Android,7.0,41.7,51.0,130,1.4,2604,3.5,1.6,1154,Education,3,3758,Young Low Spender,Retention / low spend segment
15,Male,Delhi,Vivo,Android,9.2,42.7,230.9,180,0.5,4611,1.0,2.5,210,Gaming,3,4821,Young Low Spender,Retention / low spend segment
40,Female,Lucknow,OnePlus,Android,8.4,25.7,262.8,174,1.3,3010,4.9,3.0,419,Education,3,3429,Young Low Spender,Retention / low spend segment
23,Female,Chennai,Motorola,Android,11.4,48.4,216.8,98,3.2,5026,2.7,4.9,1079,Gaming,3,6105,Young Low Spender,Retention / low spend segment
23,Female,Ahmedabad,Vivo,iOS,10.7,29.0,9.0,175,2.9,633,6.4,0.0,1345,Social Media,3,1978,Young Low Spender,Retention / low spend segment
20,Other,Chennai,Samsung,iOS,11.9,45.5,195.8,150,4.1,479,5.6,1.7,169,Education,3,648,Young Low Spender,Retention / low spend segment
40,Male,Bangalore,Vivo,iOS,2.5,10.6,219.1,113,1.8,238,0.9,2.2,1924,Work,3,2162,Young Low Spender,Retention / low spend segment
23,Other,Hyderabad,Samsung,iOS,4.3,26.4,210.5,53,5.3,1250,7.5,0.6,314,Entertainment,3,1564,Young Low Spender,Retention / low spend segment
19,Male,Bangalore,Realme,iOS,3.1,24.8,82.1,75,3.9,1396,2.0,1.6,1245,Social Media,3,2641,Young Low Spender,Retention / low spend segment
21,Male,Delhi,Motorola,iOS,9.4,15.4,10.6,34,2.5,3130,2.5,4.8,1882,Education,3,5012,Young Low Spender,Retention / low spend segment
32,Other,Mumbai,Vivo,iOS,5.8,27.5,30.0,193,4.0,948,5.6,4.6,122,Social Media,3,1070,Young Low Spender,Retention / low spend segment
25,Male,Bangalore,OnePlus,Android,5.6,38.0,296.5,40,1.5,799,1.0,2.4,1831,Work,3,2630,Young Low Spender,Retention / low spend segment
38,Female,Ahmedabad,OnePlus,iOS,3.2,13.2,206.3,31,3.2,3342,4.2,0.3,1005,Work,3,4347,Young Low Spender,Retention / low spend segment
30,Female,Ahmedabad,Samsung,Android,1.7,10.4,74.0,64,2.5,468,4.9,4.1,1361,Work,3,1829,Young Low Spender,Retention / low spend segment
18,Male,Delhi,Oppo,iOS,5.3,10.4,257.0,116,2.3,4368,7.6,4.2,1359,Gaming,3,5727,Young Low Spender,Retention / low spend segment
24,Female,Delhi,Apple,iOS,11.2,14.7,241.5,158,1.4,563,2.3,3.5,1845,Work,3,2408,Young Low Spender,Retention / low spend segment
31,Male,Ahmedabad,Google Pixel,iOS,6.8,26.2,74.5,150,5.1,1073,1.1,0.8,1393,Work,3,2466,Young Low Spender,Retention / low spend segment
19,Other,Kolkata,Motorola,iOS,6.0,42.2,193.0,101,3.1,4606,2.2,3.9,705,Entertainment,3,5311,Young Low Spender,Retention / low spend segment
26,Other,Pune,Xiaomi,iOS,11.1,1.3,51.9,52,0.6,1308,4.7,1.1,1104,Social Media,3,2412,Young Low Spender,Retention / low spend segment
25,Female,Hyderabad,Nokia,Android,5.0,26.4,216.9,78,4.0,3751,1.7,4.4,1249,Entertainment,3,5000,Young Low Spender,Retention / low spend segment
33,Male,Jaipur,Vivo,Android,10.9,38.0,273.4,198,3.0,305,5.1,2.7,324,Education,3,629,Young Low Spender,Retention / low spend segment
17,Other,Hyderabad,Motorola,Android,11.8,35.2,111.2,140,0.7,856,7.0,2.0,1474,Entertainment,3,2330,Young Low Spender,Retention / low spend segment
22,Male,Mumbai,Google Pixel,Android,8.0,12.9,82.9,113,3.9,2936,4.7,0.0,443,Work,3,3379,Young Low Spender,Retention / low spend segment
29,Female,Kolkata,Motorola,Android,7.8,42.5,71.6,17,4.2,1972,3.7,3.3,990,Social Media,3,2962,Young Low Spender,Retention / low spend segment
29,Female,Jaipur,Xiaomi,iOS,4.8,8.4,253.0,62,5.9,1373,1.4,0.8,1216,Gaming,3,2589,Young Low Spender,Retention / low spend segment
32,Other,Delhi,OnePlus,Android,9.2,43.4,281.8,55,3.5,3082,4.6,3.9,1338,Work,3,4420,Young Low Spender,Retention / low spend segment
28,Female,Hyderabad,Samsung,Android,9.3,48.8,107.2,190,1.4,1623,7.6,2.9,1839,Education,3,3462,Young Low Spender,Retention / low spend segment
19,Female,Chennai,Motorola,iOS,7.2,16.0,163.5,191,1.9,6130,4.8,1.8,1202,Gaming,3,7332,Young Low Spender,Retention / low spend segment
31,Other,Mumbai,Realme,iOS,7.5,29.2,259.3,141,4.5,1991,1.3,1.1,1936,Work,3,3927,Young Low Spender,Retention / low spend segment
24,Male,Delhi,Samsung,Android,6.1,9.0,240.6,126,1.0,1035,3.2,1.3,944,Gaming,3,1979,Young Low Spender,Retention / low spend segment
21,Male,Mumbai,Oppo,iOS,6.5,1.5,115.0,196,2.1,1824,1.8,1.8,727,Entertainment,3,2551,Young Low Spender,Retention / low spend segment
25,Other,Hyderabad,OnePlus,Android,5.2,37.5,218.5,23,3.1,3433,6.6,2.0,147,Education,3,3580,Young Low Spender,Retention / low spend segment
18,Other,Lucknow,Apple,Android,3.7,40.8,226.0,167,0.8,4554,0.9,4.2,411,Social Media,3,4965,Young Low Spender,Retention / low spend segment
19,Male,Lucknow,Vivo,Android,4.1,14.3,134.6,193,4.9,977,6.2,0.2,512,Social Media,3,1489,Young Low Spender,Retention / low spend segment
18,Male,Hyderabad,Apple,Android,6.0,16.7,201.8,43,2.9,4640,5.2,4.6,1497,Entertainment,3,6137,Young Low Spender,Retention / low spend segment
16,Other,Chennai,Samsung,iOS,7.9,6.8,69.8,38,2.8,5468,7.7,4.2,1304,Entertainment,3,6772,Young Low Spender,Retention / low spend segment
34,Other,Kolkata,OnePlus,Android,1.9,1.4,187.6,34,2.5,2706,0.9,4.4,287,Social Media,3,2993,Young Low Spender,Retention / low spend segment
16,Other,Jaipur,Motorola,iOS,11.5,41.2,274.4,122,4.8,206,3.1,1.2,1935,Education,3,2141,Young Low Spender,Retention / low spend segment
38,Male,Jaipur,Nokia,iOS,5.0,27.2,166.8,152,1.8,1111,0.7,4.0,578,Work,3,1689,Young Low Spender,Retention / low spend segment
33,Other,Ahmedabad,Google Pixel,iOS,3.6,36.2,83.9,52,4.9,639,7.9,3.0,1480,Gaming,3,2119,Young Low Spender,Retention / low spend segment
19,Other,Mumbai,Xiaomi,Android,11.7,6.2,81.7,20,3.3,3667,6.1,4.2,722,Social Media,3,4389,Young Low Spender,Retention / low spend segment
30,Male,Mumbai,Realme,Android,5.8,15.2,116.0,10,2.5,1605,4.7,0.2,897,Entertainment,3,2502,Young Low Spender,Retention / low spend segment
42,Female,Mumbai,Realme,Android,10.2,21.4,296.3,175,1.1,2252,3.4,1.1,716,Work,3,2968,Young Low Spender,Retention / low spend segment
32,Other,Hyderabad,Vivo,Android,1.6,9.1,122.1,120,3.7,2559,6.0,1.3,1557,Gaming,3,4116,Young Low Spender,Retention / low spend segment
20,Male,Jaipur,Realme,Android,5.0,33.3,28.3,70,3.1,2828,3.7,2.1,418,Social Media,3,3246,Young Low Spender,Retention / low spend segment
36,Male,Hyderabad,Google Pixel,Android,3.0,41.0,188.4,95,1.8,627,1.7,4.0,1407,Social Media,3,2034,Young Low Spender,Retention / low spend segment
34,Female,Kolkata,Nokia,Android,3.9,43.6,296.2,193,0.8,2430,1.9,4.0,1128,Gaming,3,3558,Young Low Spender,Retention / low spend segment
17,Other,Mumbai,OnePlus,Android,4.1,20.9,29.9,161,5.0,3385,7.8,2.3,1139,Education,3,4524,Young Low Spender,Retention / low spend segment
25,Female,Delhi,Realme,iOS,1.5,19.1,235.2,17,2.0,5411,7.5,4.6,1540,Education,3,6951,Young Low Spender,Retention / low spend segment
21,Male,Ahmedabad,Realme,Android,2.7,25.3,76.5,169,5.9,2312,4.0,1.8,185,Gaming,3,2497,Young Low Spender,Retention / low spend segment
15,Other,Kolkata,Vivo,iOS,11.4,20.4,171.1,47,1.6,4815,7.8,4.2,535,Work,3,5350,Young Low Spender,Retention / low spend segment
20,Female,Jaipur,Oppo,Android,9.3,10.9,103.8,144,3.5,4535,1.7,2.8,1130,Entertainment,3,5665,Young Low Spender,Retention / low spend segment
21,Male,Jaipur,Google Pixel,iOS,12.0,18.0,211.5,113,3.1,1204,1.3,2.0,1766,Work,3,2970,Young Low Spender,Retention / low spend segment
26,Female,Jaipur,Google Pixel,Android,5.5,8.5,207.8,132,1.4,2955,3.0,0.5,388,Entertainment,3,3343,Young Low Spender,Retention / low spend segment
37,Female,Ahmedabad,Xiaomi,iOS,6.2,22.0,206.9,58,3.6,625,3.4,4.1,198,Entertainment,3,823,Young Low Spender,Retention / low spend segment
26,Female,Lucknow,Oppo,iOS,7.0,27.7,199.0,82,3.9,3790,5.4,3.2,1004,Entertainment,3,4794,Young Low Spender,Retention / low spend segment
20,Male,Chennai,Realme,Android,4.0,2.5,219.7,83,4.3,891,0.7,3.4,706,Education,3,1597,Young Low Spender,Retention / low spend segment
25,Female,Mumbai,Motorola,iOS,6.4,8.4,5.7,168,3.4,4312,1.1,2.4,651,Gaming,3,4963,Young Low Spender,Retention / low spend segment
36,Other,Jaipur,Nokia,Android,1.7,1.7,179.2,103,3.0,737,2.6,2.9,810,Entertainment,3,1547,Young Low Spender,Retention / low spend segment
24,Male,Lucknow,Samsung,iOS,11.1,31.5,177.7,94,3.3,6017,1.2,2.3,1413,Work,3,7430,Young Low Spender,Retention / low spend segment
26,Other,Hyderabad,Realme,Android,1.7,39.0,195.8,14,1.8,2268,7.2,1.0,669,Work,3,2937,Young Low Spender,Retention / low spend segment
23,Male,Bangalore,Samsung,Android,2.9,47.3,150.7,92,4.0,3099,2.7,1.9,525,Social Media,3,3624,Young Low Spender,Retention / low spend segment
23,Male,Delhi,Apple,Android,3.1,18.1,231.2,132,3.6,2624,2.3,1.6,1594,Work,3,4218,Young Low Spender,Retention / low spend segment
15,Other,Kolkata,Nokia,iOS,9.5,34.1,26.3,22,3.1,3896,1.3,2.3,782,Entertainment,3,4678,Young Low Spender,Retention / low spend segment
34,Male,Chennai,Oppo,iOS,10.6,28.3,154.5,180,4.5,689,7.0,4.1,708,Education,3,1397,Young Low Spender,Retention / low spend segment
31,Male,Delhi,Motorola,Android,10.4,21.4,60.6,119,1.3,248,7.4,4.9,1984,Education,3,2232,Young Low Spender,Retention / low spend segment
34,Male,Delhi,Realme,Android,3.7,12.8,62.7,111,3.5,1381,8.0,1.8,1500,Education,3,2881,Young Low Spender,Retention / low spend segment
19,Other,Kolkata,Apple,iOS,4.8,29.6,50.4,85,2.7,3899,7.0,0.2,783,Work,3,4682,Young Low Spender,Retention / low spend segment
17,Male,Lucknow,Vivo,Android,2.5,38.1,270.7,119,1.8,5179,6.4,1.3,408,Education,3,5587,Young Low Spender,Retention / low spend segment
15,Other,Mumbai,Google Pixel,iOS,10.9,13.5,97.5,132,2.5,5377,4.6,3.7,1300,Social Media,3,6677,Young Low Spender,Retention / low spend segment
17,Other,Bangalore,Motorola,iOS,8.7,20.9,21.0,34,2.1,1836,2.0,3.0,867,Social Media,3,2703,Young Low Spender,Retention / low spend segment
19,Female,Ahmedabad,Google Pixel,iOS,7.3,46.6,208.3,109,3.8,1010,5.3,2.5,921,Gaming,3,1931,Young Low Spender,Retention / low spend segment
19,Female,Kolkata,Samsung,Android,3.7,32.7,194.3,87,3.4,1306,6.3,2.6,1596,Gaming,3,2902,Young Low Spender,Retention / low spend segment
25,Male,Hyderabad,Oppo,iOS,2.8,31.8,98.3,72,3.9,3966,0.6,1.3,645,Gaming,3,4611,Young Low Spender,Retention / low spend segment
23,Female,Kolkata,Nokia,Android,10.0,17.4,61.9,199,4.3,1817,5.6,2.3,570,Social Media,3,2387,Young Low Spender,Retention / low spend segment
37,Female,Hyderabad,Xiaomi,Android,5.7,42.7,287.5,114,0.6,1074,6.8,1.0,273,Gaming,3,1347,Young Low Spender,Retention / low spend segment
20,Other,Hyderabad,Motorola,Android,5.2,10.2,287.1,169,6.0,479,6.1,4.2,1184,Education,3,1663,Young Low Spender,Retention / low spend segment
16,Male,Bangalore,Oppo,iOS,2.1,7.4,279.6,188,0.7,1474,3.9,0.2,1344,Entertainment,3,2818,Young Low Spender,Retention / low spend segment
21,Other,Ahmedabad,Oppo,Android,6.7,24.6,181.5,53,1.7,2344,3.5,3.0,712,Work,3,3056,Young Low Spender,Retention / low spend segment
30,Male,Pune,Samsung,iOS,2.9,22.9,160.6,79,2.0,2543,1.1,1.5,1970,Entertainment,3,4513,Young Low Spender,Retention / low spend segment
16,Female,Bangalore,Vivo,Android,3.0,48.6,117.7,131,5.2,4244,2.3,2.6,727,Social Media,3,4971,Young Low Spender,Retention / low spend segment
19,Female,Delhi,Nokia,Android,1.1,29.9,98.1,69,2.5,5432,7.6,2.7,792,Gaming,3,6224,Young Low Spender,Retention / low spend segment
40,Female,Kolkata,OnePlus,iOS,9.1,37.3,138.2,154,1.4,643,6.2,4.4,1581,Gaming,3,2224,Young Low Spender,Retention / low spend segment
35,Other,Mumbai,Vivo,iOS,3.9,22.0,144.5,164,1.1,865,1.9,3.3,1716,Education,3,2581,Young Low Spender,Retention / low spend segment
25,Female,Ahmedabad,Vivo,Android,11.0,47.9,265.7,64,2.7,4924,3.2,2.0,1812,Entertainment,3,6736,Young Low Spender,Retention / low spend segment
24,Other,Delhi,Samsung,iOS,5.1,12.6,120.7,19,5.9,1546,1.4,4.8,704,Social Media,3,2250,Young Low Spender,Retention / low spend segment
34,Male,Ahmedabad,Motorola,iOS,6.4,27.2,193.5,83,2.4,571,2.5,2.6,426,Gaming,3,997,Young Low Spender,Retention / low spend segment
22,Male,Mumbai,Xiaomi,iOS,7.6,38.4,73.9,89,5.0,639,6.0,2.9,1976,Entertainment,3,2615,Young Low Spender,Retention / low spend segment
25,Female,Kolkata,Vivo,Android,5.8,6.7,66.9,21,1.5,1121,4.9,0.8,1888,Work,3,3009,Young Low Spender,Retention / low spend segment
31,Other,Jaipur,Apple,Android,9.6,15.1,218.8,19,3.2,578,1.2,2.2,1037,Work,3,1615,Young Low Spender,Retention / low spend segment
19,Other,Delhi,Vivo,iOS,6.5,11.9,167.3,92,4.1,1710,2.7,2.2,295,Education,3,2005,Young Low Spender,Retention / low spend segment
32,Female,Delhi,Realme,iOS,2.9,7.7,101.2,98,2.3,4794,7.4,4.4,1300,Social Media,3,6094,Young Low Spender,Retention / low spend segment
25,Other,Jaipur,Google Pixel,Android,3.1,19.9,222.7,198,2.9,2628,2.0,3.4,1860,Education,3,4488,Young Low Spender,Retention / low spend segment
21,Male,Delhi,Nokia,iOS,11.8,10.3,144.3,124,5.0,3120,0.8,2.5,1012,Education,3,4132,Young Low Spender,Retention / low spend segment
32,Female,Kolkata,Oppo,Android,9.0,7.1,70.1,140,4.7,2214,7.4,1.7,789,Education,3,3003,Young Low Spender,Retention / low spend segment
23,Male,Delhi,Xiaomi,iOS,10.7,36.7,252.5,84,1.2,1654,4.6,1.6,1798,Social Media,3,3452,Young Low Spender,Retention / low spend segment
16,Other,Jaipur,OnePlus,iOS,1.8,8.4,127.0,200,2.5,7755,3.6,2.2,1845,Gaming,3,9600,Young Low Spender,Retention / low spend segment
