User ID,Age,Gender,Location,OS,Screen Time (hrs/day),Data Usage (GB/month),Calls Duration (mins/day),Number of Apps Installed,Gaming Time (hrs/day),Monthly Recharge Cost (INR),Primary Use,Total Expernditure
U00002,60,Other,Delhi,iOS,9.2,28.1,13.7,169,0.4,1526,Gaming,6523
U00022,59,Other,Pune,Android,11.7,9.1,203.9,101,4.1,446,Gaming,3025
U00024,16,Female,Hyderabad,Android,1.4,25.5,222.0,141,0.4,1118,Gaming,2237
U00027,15,Male,Delhi,Android,9.2,42.7,230.9,180,2.5,210,Gaming,4821
U00034,23,Female,Chennai,Android,11.4,48.4,216.8,98,4.9,1079,Gaming,6105
U00060,35,Male,Hyderabad,iOS,3.0,8.3,253.1,18,4.6,479,Gaming,9973
U00070,18,Male,Delhi,iOS,5.3,10.4,257.0,116,4.2,1359,Gaming,5727
U00073,23,Other,Kolkata,iOS,5.2,34.6,159.3,140,2.8,1406,Gaming,7222
U00074,43,Other,Kolkata,Android,6.9,3.0,74.6,117,1.8,108,Gaming,1991
U00076,56,Female,Delhi,Android,6.1,20.7,23.2,117,2.1,430,Gaming,4102
U00080,28,Male,Chennai,iOS,5.7,49.5,98.2,190,3.2,195,Gaming,8910
U00090,38,Male,Lucknow,Android,1.8,49.9,87.3,95,0.1,1401,Gaming,7292
U00091,46,Other,Lucknow,Android,6.7,15.8,120.9,187,2.5,1186,Gaming,3613
U00093,51,Other,Delhi,Android,10.5,28.4,182.7,86,1.7,1479,Gaming,2784
U00096,21,Other,Kolkata,Android,7.2,29.6,180.6,88,0.4,1727,Gaming,11722
U00106,29,Female,Jaipur,iOS,4.8,8.4,253.0,62,0.8,1216,Gaming,2589
U00112,57,Male,Jaipur,Android,9.6,49.4,257.1,47,2.5,414,Gaming,6313
U00119,19,Female,Chennai,iOS,7.2,16.0,163.5,191,1.8,1202,Gaming,7332
U00121,44,Other,Chennai,iOS,10.8,15.8,152.4,81,1.6,1350,Gaming,9503
U00127,24,Male,Delhi,Android,6.1,9.0,240.6,126,1.3,944,Gaming,1979
U00139,33,Male,Ahmedabad,iOS,8.2,34.4,173.0,177,3.0,850,Gaming,9601
U00141,59,Female,Kolkata,Android,1.5,5.3,286.9,83,0.4,1849,Gaming,2000
U00143,53,Female,Bangalore,Android,8.1,22.6,228.5,48,2.2,176,Gaming,1351
U00155,51,Female,Lucknow,Android,7.3,44.2,211.4,80,2.5,1150,Gaming,8133
U00163,58,Other,Mumbai,iOS,7.1,43.3,248.5,57,0.9,160,Gaming,8634
U00166,29,Male,Chennai,iOS,10.1,33.3,168.3,40,0.2,621,Gaming,8803
U00167,29,Other,Chennai,iOS,8.1,37.9,218.4,93,0.1,157,Gaming,7299
U00168,33,Other,Ahmedabad,iOS,3.6,36.2,83.9,52,3.0,1480,Gaming,2119
U00190,58,Female,Jaipur,Android,4.5,7.3,126.7,174,2.4,779,Gaming,8831
U00191,32,Other,Hyderabad,Android,1.6,9.1,122.1,120,1.3,1557,Gaming,4116
U00198,34,Female,Kolkata,Android,3.9,43.6,296.2,193,4.0,1128,Gaming,3558
U00200,49,Female,Ahmedabad,iOS,8.4,28.8,62.6,16,3.7,1184,Gaming,4220
U00202,33,Other,Delhi,Android,8.7,7.5,258.6,42,1.9,366,Gaming,9042
U00204,45,Other,Hyderabad,Android,3.9,3.6,154.3,183,4.9,929,Gaming,4267
U00209,21,Male,Ahmedabad,Android,2.7,25.3,76.5,169,1.8,185,Gaming,2497
U00217,28,Other,Ahmedabad,Android,10.1,23.4,209.2,78,1.6,1712,Gaming,6910
U00223,45,Male,Pune,iOS,3.9,15.1,68.9,124,1.7,1484,Gaming,3083
U00229,25,Female,Mumbai,iOS,6.4,8.4,5.7,168,2.4,651,Gaming,4963
U00246,58,Female,Jaipur,iOS,11.2,14.3,287.8,106,3.1,363,Gaming,8174
U00256,26,Female,Kolkata,iOS,2.4,19.5,284.8,134,3.7,1629,Gaming,10916
U00262,60,Female,Chennai,Android,3.1,4.4,259.8,73,1.1,1188,Gaming,6211
U00264,24,Male,Bangalore,iOS,8.4,34.0,295.8,58,3.6,1549,Gaming,11335
U00277,19,Female,Ahmedabad,iOS,7.3,46.6,208.3,109,2.5,921,Gaming,1931
U00279,19,Female,Kolkata,Android,3.7,32.7,194.3,87,2.6,1596,Gaming,2902
U00281,52,Female,Hyderabad,Android,3.0,39.5,65.0,126,3.8,1912,Gaming,9900
U00283,25,Male,Hyderabad,iOS,2.8,31.8,98.3,72,1.3,645,Gaming,4611
U00285,45,Male,Lucknow,iOS,10.2,12.4,268.8,71,4.6,268,Gaming,1700
U00291,30,Female,Pune,Android,7.4,26.6,15.7,82,3.8,1026,Gaming,10937
U00293,52,Female,Delhi,iOS,8.2,14.1,128.6,53,4.0,1477,Gaming,9103
U00294,37,Female,Hyderabad,Android,5.7,42.7,287.5,114,1.0,273,Gaming,1347
U00298,38,Other,Chennai,Android,10.8,16.6,54.1,53,1.7,1522,Gaming,6154
U00308,49,Female,Lucknow,iOS,1.9,22.2,127.2,12,4.3,618,Gaming,8597
U00317,50,Other,Hyderabad,Android,6.6,44.5,288.4,126,0.0,437,Gaming,1624
U00322,52,Male,Kolkata,Android,5.1,16.6,10.2,109,2.7,575,Gaming,9785
U00329,19,Female,Delhi,Android,1.1,29.9,98.1,69,2.7,792,Gaming,6224
U00330,40,Female,Kolkata,iOS,9.1,37.3,138.2,154,4.4,1581,Gaming,2224
U00333,50,Female,Pune,Android,5.7,49.1,252.0,166,4.6,1615,Gaming,7275
U00340,35,Male,Bangalore,iOS,10.1,10.0,248.8,136,1.0,1638,Gaming,8972
U00343,36,Female,Kolkata,Android,10.3,2.8,90.2,55,0.6,111,Gaming,4672
U00347,38,Male,Pune,Android,11.9,22.9,13.2,168,2.3,113,Gaming,3415
U00352,34,Male,Ahmedabad,iOS,6.4,27.2,193.5,83,2.6,426,Gaming,997
U00354,57,Male,Chennai,iOS,5.1,29.4,103.5,13,2.4,360,Gaming,5977
U00364,31,Female,Kolkata,iOS,8.6,42.5,290.1,182,4.5,326,Gaming,5275
U00366,59,Other,Bangalore,iOS,9.7,45.2,70.1,48,2.5,681,Gaming,5802
U00379,48,Female,Mumbai,iOS,8.5,20.9,184.1,78,3.3,188,Gaming,8374
U00387,16,Other,Jaipur,iOS,1.8,8.4,127.0,200,2.2,1845,Gaming,9600
U00389,41,Male,Bangalore,iOS,5.4,36.7,269.3,55,1.5,1954,Gaming,10898
U00393,49,Female,Bangalore,iOS,3.9,11.0,151.1,57,3.6,609,Gaming,9130
U00398,17,Other,Pune,Android,3.4,47.4,76.0,24,3.6,269,Gaming,4935
U00404,39,Male,Pune,iOS,4.3,31.7,145.2,101,4.4,512,Gaming,9668
U00407,35,Female,Ahmedabad,iOS,7.5,43.1,283.8,46,3.3,1016,Gaming,7560
U00414,56,Female,Hyderabad,Android,4.5,1.9,149.0,25,0.8,362,Gaming,5189
U00415,54,Female,Lucknow,iOS,11.7,21.6,143.2,55,1.3,1656,Gaming,5679
U00421,54,Female,Kolkata,iOS,7.2,23.3,128.5,24,2.1,1880,Gaming,6790
U00423,49,Female,Delhi,Android,6.6,23.5,203.0,199,4.8,1866,Gaming,6246
U00427,33,Female,Jaipur,Android,7.7,18.7,189.4,109,1.6,1212,Gaming,9978
U00430,28,Other,Kolkata,Android,9.1,25.4,128.5,43,1.3,1664,Gaming,10153
U00435,21,Female,Kolkata,iOS,4.6,28.4,99.4,103,1.1,1317,Gaming,2550
U00441,21,Male,Kolkata,iOS,11.6,23.3,100.6,13,0.1,327,Gaming,9176
U00449,52,Male,Bangalore,Android,11.3,34.8,63.6,52,3.7,1891,Gaming,2161
U00454,48,Other,Bangalore,Android,11.1,25.3,11.1,123,2.7,222,Gaming,3405
U00460,55,Male,Lucknow,iOS,9.4,44.6,105.8,83,3.5,1302,Gaming,7879
U00462,17,Male,Kolkata,Android,10.2,15.4,22.6,47,2.9,1751,Gaming,4124
U00470,40,Male,Bangalore,Android,9.0,14.8,176.3,124,2.0,1826,Gaming,11474
U00473,22,Other,Bangalore,Android,10.3,13.9,84.8,80,2.2,108,Gaming,2756
U00476,24,Female,Bangalore,iOS,10.7,33.8,249.8,194,4.5,400,Gaming,8045
U00478,54,Male,Chennai,iOS,7.9,39.3,246.7,76,1.8,1051,Gaming,6678
U00482,18,Male,Ahmedabad,iOS,11.4,7.2,206.2,134,4.5,1304,Gaming,10437
U00486,29,Other,Ahmedabad,iOS,8.8,22.9,77.0,166,4.7,1569,Gaming,4952
U00494,31,Male,Pune,Android,1.2,12.0,297.8,107,4.8,1722,Gaming,5306
U00497,41,Other,Bangalore,Android,5.8,37.5,220.3,154,0.3,655,Gaming,1843
U00500,60,Other,Kolkata,Android,5.9,34.7,280.4,165,1.6,1500,Gaming,2931
U00501,32,Male,Hyderabad,iOS,8.7,46.0,196.7,144,1.7,953,Gaming,3734
U00507,43,Other,Delhi,Android,7.8,43.9,98.6,46,1.3,206,Gaming,9117
U00524,50,Male,Kolkata,iOS,9.3,47.2,226.1,51,0.3,385,Gaming,9491
U00525,41,Male,Ahmedabad,iOS,9.7,14.0,166.7,173,3.0,1268,Gaming,2472
U00534,28,Other,Chennai,Android,7.9,23.3,66.2,134,1.9,755,Gaming,9747
U00542,48,Other,Pune,iOS,4.8,13.7,184.6,127,2.4,1234,Gaming,5179
U00545,20,Other,Delhi,iOS,8.7,16.3,238.9,164,1.2,776,Gaming,10244
U00550,31,Male,Bangalore,Android,8.3,37.2,20.1,14,4.1,288,Gaming,5200
U00551,25,Other,Kolkata,iOS,1.8,31.0,192.4,41,2.3,742,Gaming,9616
U00557,46,Other,Pune,iOS,2.3,45.8,176.4,42,1.4,1731,Gaming,11446
U00559,33,Female,Hyderabad,iOS,6.5,2.0,164.2,125,3.0,1524,Gaming,6015
U00569,57,Male,Pune,Android,9.1,48.7,154.1,111,4.0,1551,Gaming,6820
U00576,19,Other,Kolkata,Android,2.9,17.1,222.0,145,3.5,1377,Gaming,7180
U00582,58,Female,Hyderabad,Android,2.1,8.5,98.6,65,4.9,124,Gaming,1320
U00583,35,Other,Bangalore,Android,10.2,11.0,119.5,131,3.8,506,Gaming,1398
U00585,56,Female,Jaipur,Android,5.5,48.5,254.6,113,1.2,1943,Gaming,8541
U00586,28,Other,Chennai,iOS,10.3,30.8,124.0,147,2.6,728,Gaming,9133
U00589,42,Female,Delhi,Android,4.8,24.1,285.2,101,2.1,1495,Gaming,8165
U00594,36,Other,Bangalore,Android,8.9,34.3,286.9,14,3.5,1026,Gaming,9914
U00595,54,Female,Hyderabad,iOS,7.4,46.1,148.6,82,4.3,1904,Gaming,9364
U00597,56,Other,Lucknow,Android,10.6,6.0,57.2,117,3.8,1257,Gaming,4298
U00599,27,Other,Jaipur,iOS,2.0,30.4,170.5,40,4.7,1265,Gaming,6986
U00617,49,Other,Mumbai,Android,11.8,31.4,134.5,27,0.1,1192,Gaming,4417
U00619,44,Male,Jaipur,iOS,10.4,7.9,215.1,168,2.1,1714,Gaming,1843
U00632,39,Other,Hyderabad,iOS,1.3,18.7,46.4,24,4.7,1557,Gaming,9624
U00640,29,Female,Jaipur,iOS,11.6,8.5,295.4,118,3.4,614,Gaming,3919
U00643,18,Other,Delhi,iOS,5.0,32.0,201.5,27,2.6,1786,Gaming,2483
U00644,36,Other,Jaipur,Android,7.9,10.8,46.1,96,1.2,876,Gaming,9023
U00653,44,Male,Delhi,Android,4.7,17.6,84.9,78,3.3,1629,Gaming,3888
U00661,31,Female,Jaipur,Android,1.1,22.8,102.4,18,1.9,1734,Gaming,9184
U00665,37,Male,Ahmedabad,iOS,3.3,40.2,107.0,64,4.3,1231,Gaming,6986
U00667,53,Female,Kolkata,iOS,9.3,24.6,7.1,105,3.6,204,Gaming,7996
U00668,30,Female,Chennai,Android,4.4,13.4,137.2,85,4.8,1628,Gaming,4646
U00672,52,Male,Bangalore,iOS,9.1,47.2,259.5,78,4.3,1511,Gaming,2530
U00676,20,Other,Jaipur,iOS,5.4,46.9,261.4,43,4.1,299,Gaming,1193
U00677,31,Female,Kolkata,iOS,5.3,10.3,98.6,74,0.7,1115,Gaming,6471
U00680,38,Female,Mumbai,iOS,9.1,20.2,162.1,65,4.3,670,Gaming,5284
U00682,46,Other,Lucknow,Android,9.2,30.3,67.2,100,1.2,118,Gaming,8249
U00690,60,Female,Jaipur,Android,7.0,2.0,24.5,39,1.7,513,Gaming,2207
U00692,36,Male,Jaipur,iOS,9.3,2.9,37.6,163,0.7,594,Gaming,6204
U00698,53,Female,Mumbai,Android,8.5,33.4,136.2,71,1.8,1303,Gaming,2490
U00699,18,Other,Bangalore,iOS,3.7,17.4,51.3,37,3.1,905,Gaming,8015
U00707,16,Other,Hyderabad,iOS,7.2,43.2,255.1,183,2.6,139,Gaming,9766
U00715,19,Male,Bangalore,iOS,3.9,22.8,38.2,172,2.2,1922,Gaming,3098
U00718,37,Male,Lucknow,iOS,1.8,33.3,100.1,122,2.2,1305,Gaming,4810
U00747,35,Other,Kolkata,Android,12.0,10.9,33.0,140,1.6,1862,Gaming,5647
U00750,51,Female,Ahmedabad,Android,8.3,36.6,262.0,31,1.7,1618,Gaming,6839
U00753,21,Male,Bangalore,Android,8.0,7.0,274.7,143,4.0,566,Gaming,4895
U00755,30,Female,Lucknow,iOS,5.1,44.4,232.4,108,1.8,1409,Gaming,8303
U00757,35,Male,Jaipur,Android,8.1,7.7,144.4,133,2.7,1707,Gaming,2331
U00759,46,Male,Bangalore,Android,8.0,40.0,186.3,124,2.9,540,Gaming,1837
U00762,59,Male,Lucknow,Android,6.3,34.7,272.9,151,2.3,258,Gaming,3377
U00768,51,Other,Lucknow,iOS,4.6,29.8,210.8,110,0.4,264,Gaming,9310
U00780,30,Other,Jaipur,iOS,11.5,31.8,79.0,95,2.5,1870,Gaming,7394
U00791,23,Female,Hyderabad,iOS,9.0,37.7,107.8,117,1.6,1301,Gaming,6986
U00801,52,Male,Delhi,iOS,8.0,49.1,81.3,181,1.4,281,Gaming,2302
U00806,26,Female,Mumbai,Android,11.6,28.0,227.0,87,2.8,600,Gaming,2495
U00807,22,Other,Delhi,Android,2.0,35.6,69.6,39,4.7,864,Gaming,10660
U00811,47,Male,Hyderabad,iOS,7.7,43.5,52.7,98,1.1,1167,Gaming,5067
U00812,21,Other,Kolkata,Android,7.8,27.1,140.2,135,4.9,798,Gaming,8128
U00828,22,Female,Mumbai,iOS,7.0,10.2,36.4,43,0.1,143,Gaming,9507
U00837,60,Other,Chennai,iOS,2.3,6.0,100.7,51,4.5,1795,Gaming,11032
U00840,59,Other,Jaipur,Android,2.9,44.3,56.1,160,3.2,1402,Gaming,6598
U00841,53,Other,Ahmedabad,Android,2.3,47.3,147.3,129,0.7,1546,Gaming,3152
U00852,57,Other,Delhi,Android,7.2,49.4,76.1,72,1.3,1692,Gaming,6466
U00856,36,Male,Pune,Android,11.1,13.5,211.7,47,3.1,1082,Gaming,6078
U00863,46,Other,Ahmedabad,iOS,10.9,5.2,278.4,119,2.9,436,Gaming,4338
U00868,19,Other,Ahmedabad,iOS,7.8,27.1,179.2,133,1.4,627,Gaming,9026
U00870,41,Other,Bangalore,Android,9.2,10.0,170.1,130,2.1,1118,Gaming,11111
U00880,39,Female,Delhi,iOS,7.6,40.7,200.6,182,3.3,1967,Gaming,5606
